date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:31	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2008%20Jul%202022%2002:08:31%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-yield-using-method%2F	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embed.10aee3f.delayed	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-yield-using-method/)
11:08:31	12406/12406	---MC-	200	added ('OK')	application/rss+xml	etag:%2275ac7c16e892d08401545ff922fbc039%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/category/my-yield-proc/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/category/my-yield-proc/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/category/my-yield-proc/)
11:08:31	852/852	---M--	200	added ('OK')	application/rss+xml	etag:%2292467d7a793f356922db09b734fbb4e8%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-yield-using-method/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/2021/11/22/my-yield-using-method/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-yield-using-method/)
11:08:31	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2008%20Jul%202022%2002:08:31%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-yield-using-method%2F&format=xml	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embedb22e	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-yield-using-method/)
11:08:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2002:08:31%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/?p=1830	C:/wunna/innovation/1/rubylearningsite/index8b41.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-yield-using-method/)
11:08:32	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2008%20Jul%202022%2002:08:32%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-proc-using-method%2F	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embed43f0	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-using-method/)
11:08:32	849/849	---M--	200	added ('OK')	application/rss+xml	etag:%22b9a71b1529931f68032c33986af92797%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-using-method/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/2021/11/22/my-proc-using-method/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-using-method/)
11:08:32	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2008%20Jul%202022%2002:08:32%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-proc-using-method%2F&format=xml	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embedeff7	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-using-method/)
11:08:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2002:08:32%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/?p=1833	C:/wunna/innovation/1/rubylearningsite/indexf5ae.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-using-method/)
11:08:33	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2008%20Jul%202022%2002:08:33%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-proc-lambda%2F	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embed0742	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-lambda/)
